Instance,Opt Gap,Time(s)
inst_100commods_12_1.txt,0.00%,0.30 
inst_100commods_12_2.txt,0.00%,0.25 
inst_100commods_12_3.txt,0.65%,0.19 
inst_100commods_12_4.txt,0.74%,0.19 
inst_100commods_12_5.txt,0.92%,0.22 
inst_100commods_18_1.txt,0.48%,0.19 
inst_100commods_18_2.txt,0.00%,0.18 
inst_100commods_18_3.txt,0.00%,0.18 
inst_100commods_18_4.txt,0.95%,0.18 
inst_100commods_18_5.txt,0.74%,0.19 
inst_100commods_24_1.txt,0.00%,0.17 
inst_100commods_24_2.txt,0.00%,0.21 
inst_100commods_24_3.txt,0.00%,0.16 
inst_100commods_24_4.txt,0.00%,0.18 
inst_100commods_24_5.txt,0.74%,0.16 
inst_100commods_30_1.txt,0.00%,0.15 
inst_100commods_30_2.txt,0.00%,0.17 
inst_100commods_30_3.txt,0.00%,0.15 
inst_100commods_30_4.txt,0.00%,0.16 
inst_100commods_30_5.txt,0.23%,0.15 
inst_100commods_36_1.txt,0.00%,0.14 
inst_100commods_36_2.txt,0.00%,0.19 
inst_100commods_36_3.txt,0.00%,0.15 
inst_100commods_36_4.txt,0.00%,0.16 
inst_100commods_36_5.txt,0.54%,0.21 
inst_100commods_42_1.txt,0.00%,0.26 
inst_100commods_42_2.txt,0.00%,0.16 
inst_100commods_42_3.txt,0.00%,0.20 
inst_100commods_42_4.txt,0.31%,0.19 
inst_100commods_42_5.txt,0.52%,0.20 
inst_100commods_48_1.txt,0.00%,0.19 
inst_100commods_48_2.txt,0.29%,0.19 
inst_100commods_48_3.txt,0.00%,0.34 
inst_100commods_48_4.txt,0.28%,0.20 
inst_100commods_48_5.txt,0.54%,0.21 
inst_100commods_6_1.txt,0.43%,0.14 
inst_100commods_6_2.txt,0.00%,0.14 
inst_100commods_6_3.txt,0.00%,0.14 
inst_100commods_6_4.txt,0.60%,0.13 
inst_100commods_6_5.txt,0.78%,0.15 
inst_150commods_12_1.txt,0.00%,0.24 
inst_150commods_12_2.txt,0.87%,0.20 
inst_150commods_12_3.txt,0.00%,0.20 
inst_150commods_12_4.txt,0.52%,0.20 
inst_150commods_12_5.txt,0.00%,0.18 
inst_150commods_18_1.txt,0.00%,0.17 
inst_150commods_18_2.txt,0.96%,0.24 
inst_150commods_18_3.txt,0.00%,0.17 
inst_150commods_18_4.txt,0.00%,0.21 
inst_150commods_18_5.txt,0.00%,0.19 
inst_150commods_24_1.txt,0.84%,0.20 
inst_150commods_24_2.txt,0.00%,0.20 
inst_150commods_24_3.txt,0.00%,0.21 
inst_150commods_24_4.txt,0.39%,0.28 
inst_150commods_24_5.txt,0.00%,0.20 
inst_150commods_30_1.txt,0.00%,0.19 
inst_150commods_30_2.txt,0.78%,0.21 
inst_150commods_30_3.txt,0.71%,0.19 
inst_150commods_30_4.txt,0.27%,0.21 
inst_150commods_30_5.txt,0.18%,0.23 
inst_150commods_36_1.txt,0.00%,0.21 
inst_150commods_36_2.txt,0.00%,0.21 
inst_150commods_36_3.txt,0.00%,0.23 
inst_150commods_36_4.txt,0.00%,0.20 
inst_150commods_36_5.txt,0.00%,0.21 
inst_150commods_42_1.txt,0.00%,0.20 
inst_150commods_42_2.txt,0.81%,0.23 
inst_150commods_42_3.txt,0.65%,0.21 
inst_150commods_42_4.txt,0.78%,0.21 
inst_150commods_42_5.txt,0.11%,0.19 
inst_150commods_48_1.txt,0.00%,0.21 
inst_150commods_48_2.txt,0.00%,0.21 
inst_150commods_48_3.txt,0.63%,0.47 
inst_150commods_48_4.txt,0.49%,0.24 
inst_150commods_48_5.txt,0.00%,0.23 
inst_150commods_6_1.txt,0.40%,0.19 
inst_150commods_6_2.txt,0.90%,0.19 
inst_150commods_6_3.txt,0.58%,0.17 
inst_150commods_6_4.txt,0.00%,0.50 
inst_150commods_6_5.txt,0.28%,0.31 
inst_200commods_12_1.txt,0.85%,0.22 
inst_200commods_12_2.txt,0.78%,0.22 
inst_200commods_12_3.txt,0.00%,0.36 
inst_200commods_12_4.txt,0.70%,0.22 
inst_200commods_12_5.txt,0.92%,0.29 
inst_200commods_18_1.txt,0.00%,0.22 
inst_200commods_18_2.txt,0.00%,0.21 
inst_200commods_18_3.txt,0.00%,0.26 
inst_200commods_18_4.txt,0.00%,0.31 
inst_200commods_18_5.txt,0.62%,0.22 
inst_200commods_24_1.txt,0.00%,0.30 
inst_200commods_24_2.txt,0.83%,0.25 
inst_200commods_24_3.txt,0.68%,0.33 
inst_200commods_24_4.txt,0.00%,0.27 
inst_200commods_24_5.txt,0.51%,0.24 
inst_200commods_30_1.txt,0.00%,0.24 
inst_200commods_30_2.txt,0.91%,0.32 
inst_200commods_30_3.txt,0.32%,0.27 
inst_200commods_30_4.txt,0.67%,0.35 
inst_200commods_30_5.txt,0.78%,0.29 
inst_200commods_36_1.txt,0.43%,0.24 
inst_200commods_36_2.txt,0.00%,0.25 
inst_200commods_36_3.txt,0.96%,0.33 
