Instance,Opt Gap,Time(s)
inst_200commods_36_4.txt,0.15%,0.25 
inst_200commods_36_5.txt,0.81%,0.27 
inst_200commods_42_1.txt,0.00%,0.25 
inst_200commods_42_2.txt,0.99%,0.27 
inst_200commods_42_3.txt,0.47%,0.29 
inst_200commods_42_4.txt,0.66%,0.32 
inst_200commods_42_5.txt,0.00%,0.42 
inst_200commods_48_1.txt,0.51%,0.44 
inst_200commods_48_2.txt,0.46%,0.33 
inst_200commods_48_3.txt,0.86%,0.32 
inst_200commods_48_4.txt,0.00%,0.30 
inst_200commods_48_5.txt,0.56%,0.30 
inst_200commods_6_1.txt,0.63%,0.28 
inst_200commods_6_2.txt,0.00%,0.22 
inst_200commods_6_3.txt,0.00%,0.24 
inst_200commods_6_4.txt,0.45%,0.23 
inst_200commods_6_5.txt,0.86%,0.21 
inst_250commods_12_1.txt,0.00%,0.25 
inst_250commods_12_2.txt,0.00%,0.29 
inst_250commods_12_3.txt,0.00%,0.25 
inst_250commods_12_4.txt,0.00%,0.24 
inst_250commods_12_5.txt,0.21%,0.24 
inst_250commods_18_1.txt,0.35%,0.23 
inst_250commods_18_2.txt,0.00%,0.33 
inst_250commods_18_3.txt,0.68%,0.24 
inst_250commods_18_4.txt,0.00%,0.24 
inst_250commods_18_5.txt,0.68%,0.25 
inst_250commods_24_1.txt,0.47%,0.29 
inst_250commods_24_2.txt,0.94%,0.41 
inst_250commods_24_3.txt,0.97%,0.34 
inst_250commods_24_4.txt,0.51%,0.98 
inst_250commods_24_5.txt,0.49%,0.49 
inst_250commods_30_1.txt,0.00%,0.32 
inst_250commods_30_2.txt,0.28%,0.38 
inst_250commods_30_3.txt,0.33%,0.38 
inst_250commods_30_4.txt,0.85%,0.30 
inst_250commods_30_5.txt,0.96%,0.36 
inst_250commods_36_1.txt,0.78%,0.31 
inst_250commods_36_2.txt,0.30%,0.37 
inst_250commods_36_3.txt,0.00%,0.31 
inst_250commods_36_4.txt,0.27%,0.44 
inst_250commods_36_5.txt,0.71%,0.40 
inst_250commods_42_1.txt,0.12%,0.42 
inst_250commods_42_2.txt,0.41%,0.37 
inst_250commods_42_3.txt,0.81%,0.34 
inst_250commods_42_4.txt,0.87%,0.47 
inst_250commods_42_5.txt,0.79%,0.44 
inst_250commods_48_1.txt,0.67%,0.41 
inst_250commods_48_2.txt,0.81%,0.48 
inst_250commods_48_3.txt,0.99%,0.61 
inst_250commods_48_4.txt,0.00%,0.43 
inst_250commods_48_5.txt,0.40%,0.34 
inst_250commods_6_1.txt,0.75%,0.24 
inst_250commods_6_2.txt,0.00%,0.24 
inst_250commods_6_3.txt,0.97%,0.24 
inst_250commods_6_4.txt,0.17%,0.31 
inst_250commods_6_5.txt,0.00%,0.23 
inst_300commods_12_1.txt,0.08%,0.29 
inst_300commods_12_2.txt,0.00%,0.27 
inst_300commods_12_3.txt,0.35%,0.28 
inst_300commods_12_4.txt,0.18%,0.27 
inst_300commods_12_5.txt,0.32%,0.27 
inst_300commods_18_1.txt,0.00%,0.26 
inst_300commods_18_2.txt,0.36%,0.31 
inst_300commods_18_3.txt,0.00%,0.29 
inst_300commods_18_4.txt,0.36%,0.34 
inst_300commods_18_5.txt,0.00%,0.28 
inst_300commods_24_1.txt,0.95%,0.36 
inst_300commods_24_2.txt,0.70%,0.88 
inst_300commods_24_3.txt,0.88%,0.42 
inst_300commods_24_4.txt,0.97%,0.49 
inst_300commods_24_5.txt,0.87%,0.47 
inst_300commods_30_1.txt,0.85%,0.44 
inst_300commods_30_2.txt,0.85%,0.47 
inst_300commods_30_3.txt,0.82%,0.96 
inst_300commods_30_4.txt,0.73%,0.52 
inst_300commods_30_5.txt,0.66%,0.56 
inst_300commods_36_1.txt,0.80%,0.42 
inst_300commods_36_2.txt,0.71%,0.50 
inst_300commods_36_3.txt,0.94%,0.61 
inst_300commods_36_4.txt,0.46%,0.61 
inst_300commods_36_5.txt,0.21%,0.56 
inst_300commods_42_1.txt,0.69%,0.46 
inst_300commods_42_2.txt,0.37%,0.54 
inst_300commods_42_3.txt,0.71%,0.44 
inst_300commods_42_4.txt,0.40%,0.47 
inst_300commods_42_5.txt,0.64%,0.45 
inst_300commods_48_1.txt,0.12%,0.47 
inst_300commods_48_2.txt,0.93%,0.50 
inst_300commods_48_3.txt,0.87%,0.58 
inst_300commods_48_4.txt,0.92%,0.97 
inst_300commods_48_5.txt,0.93%,0.71 
inst_300commods_6_1.txt,0.51%,0.27 
inst_300commods_6_2.txt,0.00%,0.27 
inst_300commods_6_3.txt,0.00%,0.29 
inst_300commods_6_4.txt,0.00%,0.29 
inst_300commods_6_5.txt,0.00%,0.27 
inst_350commods_12_1.txt,0.00%,0.29 
inst_350commods_12_2.txt,0.17%,0.32 
inst_350commods_12_3.txt,0.00%,0.32 
inst_350commods_12_4.txt,0.17%,0.34 
inst_350commods_12_5.txt,0.00%,0.32 
inst_350commods_18_1.txt,0.17%,0.32 
inst_350commods_18_2.txt,0.16%,0.39 
inst_350commods_18_3.txt,0.00%,0.36 
inst_350commods_18_4.txt,0.00%,0.35 
inst_350commods_18_5.txt,0.17%,0.35 
inst_350commods_24_1.txt,0.79%,0.74 
inst_350commods_24_2.txt,0.83%,0.63 
inst_350commods_24_3.txt,0.98%,1.44 
inst_350commods_24_4.txt,0.50%,0.69 
inst_350commods_24_5.txt,0.95%,1.24 
inst_350commods_30_1.txt,0.91%,0.63 
inst_350commods_30_2.txt,0.29%,1.04 
inst_350commods_30_3.txt,0.96%,0.67 
inst_350commods_30_4.txt,0.83%,2.29 
inst_350commods_30_5.txt,0.96%,2.90 
inst_350commods_36_1.txt,0.24%,0.57 
inst_350commods_36_2.txt,0.87%,0.82 
inst_350commods_36_3.txt,0.99%,0.83 
inst_350commods_36_4.txt,0.86%,0.54 
inst_350commods_36_5.txt,0.59%,1.01 
inst_350commods_42_1.txt,0.78%,0.80 
inst_350commods_42_2.txt,0.55%,0.78 
inst_350commods_42_3.txt,0.77%,0.83 
inst_350commods_42_4.txt,0.89%,0.58 
inst_350commods_42_5.txt,0.88%,1.12 
inst_350commods_48_1.txt,0.62%,0.88 
inst_350commods_48_2.txt,0.00%,1.08 
inst_350commods_48_3.txt,0.99%,0.98 
inst_350commods_48_4.txt,0.95%,0.88 
inst_350commods_48_5.txt,0.74%,0.79 
inst_350commods_6_1.txt,0.16%,0.31 
inst_350commods_6_2.txt,0.00%,0.33 
inst_350commods_6_3.txt,0.00%,0.34 
inst_350commods_6_4.txt,0.00%,0.31 
inst_350commods_6_5.txt,0.71%,0.32 
inst_400commods_12_1.txt,0.00%,0.35 
inst_400commods_12_2.txt,0.45%,0.39 
inst_400commods_12_3.txt,0.00%,0.36 
inst_400commods_12_4.txt,0.07%,0.38 
inst_400commods_12_5.txt,0.00%,0.36 
inst_400commods_18_1.txt,0.00%,0.35 
inst_400commods_18_2.txt,0.00%,0.38 
inst_400commods_18_3.txt,0.00%,0.36 
inst_400commods_18_4.txt,0.39%,0.39 
inst_400commods_18_5.txt,0.15%,0.40 
inst_400commods_24_1.txt,0.08%,0.61 
inst_400commods_24_2.txt,0.97%,1.13 
inst_400commods_24_3.txt,0.64%,2.64 
inst_400commods_24_4.txt,0.80%,1.04 
inst_400commods_24_5.txt,0.60%,2.46 
inst_400commods_30_1.txt,0.98%,0.76 
inst_400commods_30_2.txt,0.67%,1.41 
inst_400commods_30_3.txt,0.18%,1.03 
inst_400commods_30_4.txt,0.78%,2.03 
inst_400commods_30_5.txt,0.96%,1.32 
inst_400commods_36_1.txt,0.26%,0.92 
inst_400commods_36_2.txt,0.36%,1.38 
inst_400commods_36_3.txt,0.26%,0.95 
inst_400commods_36_4.txt,0.97%,0.95 
inst_400commods_36_5.txt,0.83%,0.91 
inst_400commods_42_1.txt,1.00%,0.72 
inst_400commods_42_2.txt,0.77%,2.29 
inst_400commods_42_3.txt,0.81%,0.85 
inst_400commods_42_4.txt,0.53%,1.48 
inst_400commods_42_5.txt,0.69%,3.43 
inst_400commods_48_1.txt,0.65%,3.50 
inst_400commods_48_2.txt,0.99%,2.36 
inst_400commods_48_3.txt,0.00%,1.35 
inst_400commods_48_4.txt,0.70%,2.11 
inst_400commods_48_5.txt,0.90%,1.79 
inst_400commods_6_1.txt,0.00%,0.36 
inst_400commods_6_2.txt,0.05%,0.38 
inst_400commods_6_3.txt,0.00%,0.38 
inst_400commods_6_4.txt,0.00%,0.48 
inst_400commods_6_5.txt,0.26%,0.66 
inst_450commods_12_1.txt,0.00%,0.44 
inst_450commods_12_2.txt,0.73%,0.46 
inst_450commods_12_3.txt,0.18%,0.43 
inst_450commods_12_4.txt,0.00%,0.44 
inst_450commods_12_5.txt,0.12%,0.44 
inst_450commods_18_1.txt,0.28%,0.42 
inst_450commods_18_2.txt,0.33%,0.47 
inst_450commods_18_3.txt,0.35%,0.52 
inst_450commods_18_4.txt,0.00%,0.46 
inst_450commods_18_5.txt,0.36%,0.45 
inst_450commods_24_1.txt,0.78%,1.03 
inst_450commods_24_2.txt,0.90%,1.66 
inst_450commods_24_3.txt,1.00%,2.34 
inst_450commods_24_4.txt,0.92%,5.12 
inst_450commods_24_5.txt,0.96%,1.64 
inst_450commods_30_1.txt,0.81%,1.25 
inst_450commods_30_2.txt,0.77%,1.30 
inst_450commods_30_3.txt,0.96%,1.46 
inst_450commods_30_4.txt,0.71%,4.05 
inst_450commods_30_5.txt,0.42%,1.78 
inst_450commods_36_1.txt,0.76%,3.10 
inst_450commods_36_2.txt,0.09%,1.09 
inst_450commods_36_3.txt,0.49%,1.67 
inst_450commods_36_4.txt,0.58%,4.77 
inst_450commods_36_5.txt,0.85%,1.29 
inst_450commods_42_1.txt,0.68%,1.20 
inst_450commods_42_2.txt,0.92%,2.92 
inst_450commods_42_3.txt,1.00%,2.68 
inst_450commods_42_4.txt,0.93%,3.11 
inst_450commods_42_5.txt,0.99%,1.73 
inst_450commods_48_1.txt,0.60%,2.16 
inst_450commods_48_2.txt,0.84%,4.91 
inst_450commods_48_3.txt,0.33%,1.86 
inst_450commods_48_4.txt,0.80%,15.57 
inst_450commods_48_5.txt,0.51%,1.68 
inst_450commods_6_1.txt,0.13%,0.41 
inst_450commods_6_2.txt,0.00%,0.43 
inst_450commods_6_3.txt,0.49%,0.42 
inst_450commods_6_4.txt,0.46%,0.45 
inst_450commods_6_5.txt,0.25%,0.42 
inst_500commods_12_1.txt,0.00%,0.48 
inst_500commods_12_2.txt,0.06%,0.55 
inst_500commods_12_3.txt,0.06%,0.58 
inst_500commods_12_4.txt,0.00%,0.53 
inst_500commods_12_5.txt,0.23%,0.51 
inst_500commods_18_1.txt,0.00%,0.45 
inst_500commods_18_2.txt,0.00%,0.52 
inst_500commods_18_3.txt,0.78%,0.64 
inst_500commods_18_4.txt,0.34%,0.64 
inst_500commods_18_5.txt,0.39%,0.61 
inst_500commods_24_1.txt,0.98%,1.96 
inst_500commods_24_2.txt,0.95%,1.89 
inst_500commods_24_3.txt,0.94%,5.67 
inst_500commods_24_4.txt,0.77%,11.61 
inst_500commods_24_5.txt,0.97%,40.08 
inst_500commods_30_1.txt,0.99%,2.28 
inst_500commods_30_2.txt,0.92%,2.76 
inst_500commods_30_3.txt,0.96%,6.42 
inst_500commods_30_4.txt,0.43%,3.05 
inst_500commods_30_5.txt,0.84%,3.60 
inst_500commods_36_1.txt,0.89%,1.59 
inst_500commods_36_2.txt,0.90%,3.86 
inst_500commods_36_3.txt,0.95%,2.67 
inst_500commods_36_4.txt,0.71%,2.60 
inst_500commods_36_5.txt,0.75%,1.56 
inst_500commods_42_1.txt,1.00%,2.03 
inst_500commods_42_2.txt,0.80%,2.13 
inst_500commods_42_3.txt,0.70%,1.88 
inst_500commods_42_4.txt,0.88%,4.82 
inst_500commods_42_5.txt,0.84%,4.94 
inst_500commods_48_1.txt,0.62%,2.40 
inst_500commods_48_2.txt,0.83%,3.98 
inst_500commods_48_3.txt,0.29%,11.68 
inst_500commods_48_4.txt,0.54%,3.36 
inst_500commods_48_5.txt,0.70%,2.76 
inst_500commods_6_1.txt,0.00%,0.55 
inst_500commods_6_2.txt,0.80%,0.79 
inst_500commods_6_3.txt,0.29%,0.56 
inst_500commods_6_4.txt,0.12%,0.52 
inst_500commods_6_5.txt,0.44%,0.74 
inst_550commods_12_1.txt,0.17%,0.62 
inst_550commods_12_2.txt,0.06%,0.63 
inst_550commods_12_3.txt,0.00%,0.56 
inst_550commods_12_4.txt,0.39%,0.90 
inst_550commods_12_5.txt,0.40%,0.57 
inst_550commods_18_1.txt,0.77%,0.54 
inst_550commods_18_2.txt,0.34%,0.70 
inst_550commods_18_3.txt,0.12%,1.30 
inst_550commods_18_4.txt,0.12%,1.13 
inst_550commods_18_5.txt,0.43%,0.82 
inst_550commods_24_1.txt,0.92%,3.27 
inst_550commods_24_2.txt,0.37%,24.90 
inst_550commods_24_3.txt,0.72%,21.31 
inst_550commods_24_4.txt,0.66%,5.62 
inst_550commods_24_5.txt,0.79%,5.64 
inst_550commods_30_1.txt,0.71%,5.50 
inst_550commods_30_2.txt,0.85%,5.39 
inst_550commods_30_3.txt,0.78%,17.13 
inst_550commods_30_4.txt,0.45%,17.28 
inst_550commods_30_5.txt,0.87%,20.40 
inst_550commods_36_1.txt,0.92%,3.44 
inst_550commods_36_2.txt,0.97%,9.75 
inst_550commods_36_3.txt,0.87%,2.14 
inst_550commods_36_4.txt,0.99%,3.51 
inst_550commods_36_5.txt,0.94%,19.04 
inst_550commods_42_1.txt,0.85%,4.67 
inst_550commods_42_2.txt,0.97%,5.52 
inst_550commods_42_3.txt,0.63%,3.39 
inst_550commods_42_4.txt,0.95%,17.17 
inst_550commods_42_5.txt,0.84%,13.41 
inst_550commods_48_1.txt,0.98%,1.67 
inst_550commods_48_2.txt,0.84%,4.21 
inst_550commods_48_3.txt,0.46%,2.76 
inst_550commods_48_4.txt,0.88%,8.22 
inst_550commods_48_5.txt,0.56%,7.96 
inst_550commods_6_1.txt,0.31%,0.51 
inst_550commods_6_2.txt,0.59%,0.61 
inst_550commods_6_3.txt,0.25%,0.56 
inst_550commods_6_4.txt,0.20%,0.64 
inst_550commods_6_5.txt,0.34%,0.59 
inst_600commods_12_1.txt,0.14%,0.59 
inst_600commods_12_2.txt,0.56%,0.73 
inst_600commods_12_3.txt,0.39%,0.59 
inst_600commods_12_4.txt,0.00%,0.62 
inst_600commods_12_5.txt,0.82%,0.68 
inst_600commods_18_1.txt,0.47%,0.67 
inst_600commods_18_2.txt,0.12%,0.93 
inst_600commods_18_3.txt,0.36%,0.71 
inst_600commods_18_4.txt,0.29%,1.11 
inst_600commods_18_5.txt,0.00%,0.63 
inst_600commods_24_1.txt,0.59%,12.79 
inst_600commods_24_2.txt,0.96%,5.64 
inst_600commods_24_3.txt,0.44%,14.65 
inst_600commods_24_4.txt,0.74%,19.06 
inst_600commods_24_5.txt,0.98%,32.98 
inst_600commods_30_1.txt,0.76%,14.67 
inst_600commods_30_2.txt,0.97%,22.85 
inst_600commods_30_3.txt,0.80%,42.78 
inst_600commods_30_4.txt,0.71%,9.48 
inst_600commods_30_5.txt,0.82%,4.16 
inst_600commods_36_1.txt,0.79%,31.76 
inst_600commods_36_2.txt,0.99%,14.96 
inst_600commods_36_3.txt,0.88%,18.25 
inst_600commods_36_4.txt,0.69%,16.47 
inst_600commods_36_5.txt,0.88%,25.38 
inst_600commods_42_1.txt,0.95%,12.32 
inst_600commods_42_2.txt,0.41%,16.13 
inst_600commods_42_3.txt,0.45%,18.98 
inst_600commods_42_4.txt,0.77%,5.89 
inst_600commods_42_5.txt,0.97%,16.62 
inst_600commods_48_1.txt,0.95%,24.83 
inst_600commods_48_2.txt,0.43%,19.86 
inst_600commods_48_3.txt,0.64%,23.46 
inst_600commods_48_4.txt,0.23%,6.99 
inst_600commods_48_5.txt,0.88%,6.69 
inst_600commods_6_1.txt,0.05%,2.28 
inst_600commods_6_2.txt,0.82%,0.79 
inst_600commods_6_3.txt,0.55%,0.68 
inst_600commods_6_4.txt,0.27%,1.66 
inst_600commods_6_5.txt,0.46%,0.75 
inst_650commods_12_1.txt,0.30%,0.62 
inst_650commods_12_2.txt,0.40%,0.76 
inst_650commods_12_3.txt,0.00%,0.70 
inst_650commods_12_4.txt,0.70%,2.76 
inst_650commods_12_5.txt,0.28%,0.69 
inst_650commods_18_1.txt,0.14%,0.70 
inst_650commods_18_2.txt,0.38%,0.77 
inst_650commods_18_3.txt,0.10%,0.98 
inst_650commods_18_4.txt,0.37%,0.83 
inst_650commods_18_5.txt,0.19%,1.06 
inst_650commods_24_1.txt,0.94%,17.74 
inst_650commods_24_2.txt,0.73%,18.40 
inst_650commods_24_3.txt,0.89%,7.63 
inst_650commods_24_4.txt,0.99%,110.94 
inst_650commods_24_5.txt,0.95%,75.30 
inst_650commods_30_1.txt,0.63%,2.96 
inst_650commods_30_2.txt,0.96%,31.13 
inst_650commods_30_3.txt,0.78%,41.83 
inst_650commods_30_4.txt,0.65%,55.04 
inst_650commods_30_5.txt,0.95%,21.41 
inst_650commods_36_1.txt,0.93%,13.31 
inst_650commods_36_2.txt,0.62%,26.06 
inst_650commods_36_3.txt,0.64%,50.11 
inst_650commods_36_4.txt,0.89%,34.92 
inst_650commods_36_5.txt,0.55%,29.38 
inst_650commods_42_1.txt,0.89%,20.67 
inst_650commods_42_2.txt,0.63%,23.38 
inst_650commods_42_3.txt,0.95%,57.33 
inst_650commods_42_4.txt,0.70%,25.93 
inst_650commods_42_5.txt,0.90%,51.59 
inst_650commods_48_1.txt,0.52%,28.89 
inst_650commods_48_2.txt,0.77%,6.84 
inst_650commods_48_3.txt,0.83%,37.01 
inst_650commods_48_4.txt,0.87%,12.01 
inst_650commods_48_5.txt,0.90%,37.20 
inst_650commods_6_1.txt,0.91%,0.78 
inst_650commods_6_2.txt,0.74%,0.74 
inst_650commods_6_3.txt,0.20%,0.70 
inst_650commods_6_4.txt,0.24%,0.75 
inst_650commods_6_5.txt,0.74%,1.13 
inst_700commods_12_1.txt,0.67%,0.86 
inst_700commods_12_2.txt,0.30%,0.89 
inst_700commods_12_3.txt,0.74%,2.93 
inst_700commods_12_4.txt,0.49%,2.97 
inst_700commods_12_5.txt,0.29%,1.48 
inst_700commods_18_1.txt,0.41%,1.02 
inst_700commods_18_2.txt,0.50%,1.43 
inst_700commods_18_3.txt,0.73%,1.17 
inst_700commods_18_4.txt,0.99%,4.64 
inst_700commods_18_5.txt,0.70%,1.39 
inst_700commods_24_1.txt,0.55%,56.87 
inst_700commods_24_2.txt,0.94%,117.98 
inst_700commods_24_3.txt,0.91%,49.96 
inst_700commods_24_4.txt,0.96%,202.70 
inst_700commods_24_5.txt,0.85%,59.94 
inst_700commods_30_1.txt,0.44%,27.74 
inst_700commods_30_2.txt,0.63%,55.26 
inst_700commods_30_3.txt,0.79%,54.05 
inst_700commods_30_4.txt,0.91%,40.31 
inst_700commods_30_5.txt,0.85%,77.73 
inst_700commods_36_1.txt,0.46%,36.83 
inst_700commods_36_2.txt,1.00%,51.69 
inst_700commods_36_3.txt,0.99%,58.52 
inst_700commods_36_4.txt,0.92%,22.31 
inst_700commods_36_5.txt,0.93%,56.36 
inst_700commods_42_1.txt,0.89%,16.83 
inst_700commods_42_2.txt,0.62%,41.22 
inst_700commods_42_3.txt,0.41%,60.57 
inst_700commods_42_4.txt,0.89%,10.40 
inst_700commods_42_5.txt,0.95%,43.42 
inst_700commods_48_1.txt,0.42%,4.01 
inst_700commods_48_2.txt,0.58%,51.33 
inst_700commods_48_3.txt,0.96%,115.42 
inst_700commods_48_4.txt,0.90%,11.37 
inst_700commods_48_5.txt,0.87%,100.36 
inst_700commods_6_1.txt,0.55%,2.39 
inst_700commods_6_2.txt,0.59%,3.34 
inst_700commods_6_3.txt,0.69%,2.83 
inst_700commods_6_4.txt,0.95%,3.28 
inst_700commods_6_5.txt,0.18%,1.14 
inst_750commods_12_1.txt,0.54%,0.98 
inst_750commods_12_2.txt,0.52%,3.19 
inst_750commods_12_3.txt,0.60%,1.74 
inst_750commods_12_4.txt,0.44%,3.10 
inst_750commods_12_5.txt,0.76%,1.19 
inst_750commods_18_1.txt,0.51%,1.02 
inst_750commods_18_2.txt,0.61%,3.03 
inst_750commods_18_3.txt,0.87%,1.31 
inst_750commods_18_4.txt,0.40%,3.17 
inst_750commods_18_5.txt,0.87%,3.16 
inst_750commods_24_1.txt,0.81%,28.85 
inst_750commods_24_2.txt,0.79%,104.88 
inst_750commods_24_3.txt,0.91%,72.60 
inst_750commods_24_4.txt,0.97%,108.59 
inst_750commods_24_5.txt,1.00%,147.80 
inst_750commods_30_1.txt,0.86%,52.54 
inst_750commods_30_2.txt,0.98%,58.59 
inst_750commods_30_3.txt,0.70%,318.92 
inst_750commods_30_4.txt,0.98%,59.35 
inst_750commods_30_5.txt,0.89%,77.28 
inst_750commods_36_1.txt,0.83%,42.52 
inst_750commods_36_2.txt,0.95%,56.95 
inst_750commods_36_3.txt,0.58%,47.19 
inst_750commods_36_4.txt,0.90%,204.18 
inst_750commods_36_5.txt,0.66%,29.83 
inst_750commods_42_1.txt,0.97%,170.56 
inst_750commods_42_2.txt,0.59%,92.44 
inst_750commods_42_3.txt,0.90%,636.30 
inst_750commods_42_4.txt,0.83%,61.65 
inst_750commods_42_5.txt,0.77%,46.00 
inst_750commods_48_1.txt,0.46%,28.67 
inst_750commods_48_2.txt,0.94%,86.54 
inst_750commods_48_3.txt,0.51%,37.59 
inst_750commods_48_4.txt,0.87%,97.82 
inst_750commods_48_5.txt,0.57%,49.11 
inst_750commods_6_1.txt,0.26%,1.07 
inst_750commods_6_2.txt,0.46%,0.99 
inst_750commods_6_3.txt,0.54%,0.88 
inst_750commods_6_4.txt,0.70%,2.98 
inst_750commods_6_5.txt,0.72%,0.95 
